"year","source","target","type","distance"
1946,"Russia (Soviet Union)","BDPS","opposing",50
1946,"Greece","DSE","opposing",50
1946,"Russia (Soviet Union)","Forest Brothers","opposing",50
1946,"Philippines","Huk","opposing",50
1946,"Netherlands","Indonesian People's Army","opposing",50
1946,"Russia (Soviet Union)","Iran","opposingdirected",200
1946,"United Kingdom","IZL [Etzel]","opposing",50
1946,"Iran","KDPI","opposing",50
1946,"Russia (Soviet Union)","KDPI","supportive",100
1946,"France","Khmer Issarak","opposing",50
1946,"France","Lao Issara","opposing",50
1946,"Russia (Soviet Union)","LNPA","opposing",50
1946,"Russia (Soviet Union)","LTS(p)A","opposing",50
1946,"China","PLA","opposing",50
1946,"Bolivia","Popular Revolutionary Movement","opposing",50
1946,"Iran","Republic of Azerbaijan","opposing",50
1946,"Russia (Soviet Union)","Republic of Azerbaijan","supportive",100
1946,"France","Thailand","opposing",50
1946,"Albania","United Kingdom","opposing",50
1946,"Russia (Soviet Union)","UPA","opposing",50
1946,"France","Viet minh","opposing",50
1947,"Russia (Soviet Union)","BDPS","opposing",50
1947,"Hyderabad","CPI","opposing",50
1947,"Greece","DSE","opposing",50
1947,"Russia (Soviet Union)","Forest Brothers","opposing",50
1947,"Philippines","Huk","opposing",50
1947,"Netherlands","Indonesian People's Army","opposing",50
1947,"France","Khmer Issarak","opposing",50
1947,"France","Lao Issara","opposing",50
1947,"Paraguay","Liberals and Communists)","opposing",50
1947,"France","MDRM","opposing",50
1947,"Paraguay","Opposition coalition (Febreristas","opposing",50
1947,"China","PLA","opposing",50
1947,"China","Taiwanese insurgents","opposing",50
1947,"Russia (Soviet Union)","UPA","opposing",50
1947,"France","Viet minh","opposing",50
1948,"Myanmar (Burma)","APLP","opposing",50
1948,"Russia (Soviet Union)","BDPS","opposing",50
1948,"Myanmar (Burma)","CPB","opposing",50
1948,"Myanmar (Burma)","CPB-RF","opposing",50
1948,"Hyderabad","CPI","opposing",50
1948,"India","CPI","opposing",50
1948,"United Kingdom","CPM","opposing",50
1948,"Greece","DSE","opposing",50
1948,"Russia (Soviet Union)","Forest Brothers","opposing",50
1948,"Philippines","Huk","opposing",50
1948,"Hyderabad","India","opposing",50
1948,"Netherlands","Indonesian People's Army","opposing",50
1948,"Egypt","Israel","opposing",50
1948,"Iraq","Israel","opposing",50
1948,"Jordan","Israel","opposing",50
1948,"Lebanon","Israel","opposing",50
1948,"Syria","Israel","opposing",50
1948,"France","Khmer Issarak","opposing",50
1948,"France","Lao Issara","opposing",50
1948,"Myanmar (Burma)","Mujahid Party","opposing",50
1948,"Costa Rica","National Liberation Army","opposing",50
1948,"North Yemen","Opposition coalition","opposing",50
1948,"India","Pakistan","opposing",50
1948,"China","PLA","opposing",50
1948,"Myanmar (Burma)","PVO - ""White Band"" faction","opposing",50
1948,"Russia (Soviet Union)","UPA","opposing",50
1948,"France","Viet minh","opposing",50
1949,"Myanmar (Burma)","APLP","opposing",50
1949,"Myanmar (Burma)","CPB","opposing",50
1949,"Myanmar (Burma)","CPB-RF","opposing",50
1949,"India","CPI","opposing",50
1949,"New Zealand","CPM","opposingdirected",200
1949,"United Kingdom","CPM","opposing",50
1949,"Greece","DSE","opposing",50
1949,"Philippines","Huk","opposing",50
1949,"Netherlands","Indonesian People's Army","opposing",50
